Word,Length,Freq_HAL,Log_Freq_HAL
movement,8,"30,554",10.327
examples,8,"30,501",10.326
watching,8,"29,939",10.307
behavior,8,"29,913",10.306
distance,8,"29,802",10.302
changing,8,"29,703",10.299
modified,8,"29,649",10.297
properly,8,"29,409",10.289
compiler,8,"29,044",10.277
thoughts,8,"28,997",10.275
produced,8,"28,614",10.262
pressure,8,"28,433",10.255
compared,8,"27,910",10.237
northern,8,"27,797",10.233
employer,8,"27,757",10.231
positive,8,"27,619",10.226
maintain,8,"27,327",10.216
familiar,8,"26,893",10.2
instance,8,"26,887",10.199
activity,8,"26,484",10.184
citizens,8,"26,476",10.184
entirely,8,"26,379",10.18
relevant,8,"25,732",10.155
strength,8,"25,721",10.155
creating,8,"25,598",10.15
disagree,8,"25,581",10.15
assuming,8,"25,476",10.145
commands,8,"25,319",10.139
fighting,8,"25,177",10.134
parallel,8,"25,084",10.13
normally,8,"24,873",10.122
terminal,8,"24,678",10.114
requests,8,"24,625",10.112
Saturday,8,"24,556",10.109
platform,8,"24,499",10.106
negative,8,"24,446",10.104
standing,8,"24,152",10.092
campaign,8,"24,070",10.089
provider,8,"24,078",10.089
southern,8,"23,994",10.086
December,8,"23,815",10.078
presence,8,"23,804",10.078
handling,8,"23,735",10.075
returned,8,"23,694",10.073
purposes,8,"23,468",10.063
offering,8,"23,290",10.056
finished,8,"23,192",10.052
archives,8,"23,186",10.051
describe,8,"22,980",10.042
whenever,8,"22,956",10.041
settings,8,"22,892",10.039
creation,8,"22,642",10.028
contents,8,"22,548",10.023
minister,8,"22,530",10.023
packages,8,"22,532",10.023
indicate,8,"22,492",10.021
printing,8,"22,497",10.021
teaching,8,"21,953",9.997
proposed,8,"21,887",9.994
prepared,8,"21,850",9.992
protocol,8,"21,507",9.976
accurate,8,"21,492",9.975
hundreds,8,"21,427",9.972
appeared,8,"21,332",9.968
marriage,8,"21,299",9.966
spending,8,"21,249",9.964
suddenly,8,"21,143",9.959
detailed,8,"21,090",9.957
audience,8,"20,905",9.948
selected,8,"20,861",9.946
register,8,"20,789",9.942
variable,8,"20,715",9.939
greatest,8,"20,710",9.938
attitude,8,"20,636",9.935
replaced,8,"20,454",9.926
critical,8,"20,425",9.925
extended,8,"20,378",9.922
Virginia,8,"20,353",9.921
politics,8,"20,224",9.915
password,8,"20,193",9.913
progress,8,"20,169",9.912
obtained,8,"20,137",9.91
becoming,8,"19,871",9.897
violence,8,"19,852",9.896
medicine,8,"19,795",9.893
electric,8,"19,671",9.887
criminal,8,"19,615",9.884
exercise,8,"19,538",9.88
attached,8,"19,517",9.879
strongly,8,"19,522",9.879
daughter,8,"19,485",9.877
hospital,8,"19,468",9.877
sciences,8,"19,471",9.877
superior,8,"19,327",9.869
uncommon,8,"19,316",9.869
cultural,8,"19,229",9.864
strategy,8,"19,202",9.863
creative,8,"19,097",9.857
district,8,"19,101",9.857
proposal,8,"18,999",9.852
Michigan,8,"18,979",9.851
peoples,8,"18,811",9.842
November,8,"18,740",9.838
graduate,8,"18,640",9.833
Colorado,8,"18,474",9.824
numerous,8,"18,429",9.822
baseball,8,"18,372",9.819
relative,8,"18,302",9.815
families,8,"18,151",9.806
confused,8,"18,084",9.803
constant,8,"18,068",9.802
brothers,8,"18,042",9.8
accounts,8,"18,019",9.799
answered,8,"17,937",9.795
Columbia,8,"17,921",9.794
schedule,8,"17,857",9.79
delivery,8,"17,823",9.788
football,8,"17,788",9.786
surprise,8,"17,697",9.781
academic,8,"17,622",9.777
directed,8,"17,588",9.775
republic,8,"17,582",9.775
friendly,8,"17,486",9.769
elements,8,"17,438",9.766
realized,8,"17,381",9.763
assembly,8,"17,309",9.759
aircraft,8,"17,225",9.754
compiled,8,"17,113",9.748
category,8,"17,024",9.742
controls,8,"17,007",9.741
feelings,8,"17,008",9.741
reliable,8,"16,975",9.739
conflict,8,"16,956",9.738
pleasure,8,"16,862",9.733
absolute,8,"16,840",9.732
abortion,8,"16,764",9.727
millions,8,"16,751",9.726
reaction,8,"16,706",9.724
allowing,8,"16,704",9.723
recorded,8,"16,695",9.723
generate,8,"16,688",9.722
opposite,8,"16,623",9.719
creature,8,"16,556",9.715
checking,8,"16,444",9.708
feedback,8,"16,363",9.703
ultimate,8,"16,369",9.703
thousand,8,"16,355",9.702
Illinois,8,"16,333",9.701
capacity,8,"16,207",9.693
releases,8,"16,130",9.688
channels,8,"16,104",9.687
identify,8,"15,924",9.676
attempts,8,"15,813",9.669
regional,8,"15,782",9.667
reserved,8,"15,567",9.653
opponent,8,"15,498",9.648
valuable,8,"15,458",9.646
workshop,8,"15,377",9.641
chemical,8,"15,316",9.637
sections,8,"15,230",9.631
improved,8,"15,213",9.63
episodes,8,"15,188",9.628
informed,8,"15,141",9.625
policies,8,"15,119",9.624
sentence,8,"14,984",9.615
digested,8,"14,971",9.614
shooting,8,"14,908",9.61
carrying,8,"14,835",9.605
Jonathan,8,"14,792",9.602
stations,8,"14,721",9.597
believed,8,"14,688",9.595
Thursday,8,"14,696",9.595
fragment,8,"14,674",9.594
speakers,8,"14,660",9.593
concepts,8,"14,617",9.59
consumer,8,"14,613",9.59
attorney,8,"14,590",9.588
tomorrow,8,"14,556",9.586
exciting,8,"14,495",9.582
coverage,8,"14,414",9.576
referred,8,"14,346",9.571
patients,8,"14,318",9.569
facility,8,"14,204",9.561
subjects,8,"14,202",9.561
bulletin,8,"14,131",9.556
oriented,8,"14,100",9.554
combined,8,"14,078",9.552
sessions,8,"14,075",9.552
operator,8,"14,061",9.551
incident,8,"14,028",9.549
exposure,8,"13,747",9.529
agencies,8,"13,501",9.511
concerns,8,"13,502",9.511
pointers,8,"13,503",9.511
minority,8,"13,393",9.502
sometime,8,"13,368",9.501
portable,8,"13,348",9.499
annoying,8,"13,329",9.498
bringing,8,"13,171",9.486
teachers,8,"12,939",9.468
spelling,8,"12,926",9.467
contrary,8,"12,919",9.466
patterns,8,"12,698",9.449
entitled,8,"12,629",9.444
darkness,8,"12,621",9.443
identity,8,"12,593",9.441
domestic,8,"12,573",9.439
discount,8,"12,560",9.438
openings,8,"12,541",9.437
officers,8,"12,506",9.434
warranty,8,"12,508",9.434
election,8,"12,479",9.432
unlikely,8,"12,464",9.431
complain,8,"12,433",9.428
affected,8,"12,344",9.421
terrible,8,"12,323",9.419
Maryland,8,"12,280",9.416
Catholic,8,"12,267",9.415
breaking,8,"12,257",9.414
innocent,8,"12,203",9.409
magnetic,8,"12,159",9.406
convince,8,"12,075",9.399
pointing,8,"12,081",9.399
soldiers,8,"12,077",9.399
approved,8,"12,049",9.397
suitable,8,"11,990",9.392
believes,8,"11,978",9.391
occurred,8,"11,947",9.388
Berkeley,8,"11,934",9.387
involves,8,"11,845",9.38
meetings,8,"11,848",9.38
monitors,8,"11,804",9.376
ordinary,8,"11,769",9.373
infinite,8,"11,736",9.37
Montreal,8,"11,721",9.369
priority,8,"11,719",9.369
spectrum,8,"11,650",9.363
consists,8,"11,613",9.36
Lawrence,8,"11,571",9.356
claiming,8,"11,561",9.355
supplies,8,"11,511",9.351
shoulder,8,"11,440",9.345
floating,8,"11,425",9.344
midnight,8,"11,426",9.344
mistakes,8,"11,325",9.335
chairman,8,"11,306",9.333
Pakistan,8,"11,206",9.324
measures,8,"11,173",9.321
accident,8,"11,152",9.319
rational,8,"11,109",9.316
discover,8,"11,099",9.315
managers,8,"11,106",9.315
incoming,8,"11,069",9.312
criteria,8,"11,055",9.311
employee,8,"11,023",9.308
listings,8,"11,027",9.308
optional,8,"11,022",9.308
paradise,8,"11,010",9.307
enhanced,8,"10,962",9.302
drinking,8,"10,923",9.299
ignorant,8,"10,868",9.294
assigned,8,"10,862",9.293
declared,8,"10,861",9.293
envelope,8,"10,813",9.289
suggests,8,"10,793",9.287
Portland,8,"10,701",9.278
strictly,8,"10,697",9.278
contacts,8,"10,686",9.277
accuracy,8,"10,534",9.262
apparent,8,"10,467",9.256
commonly,8,"10,470",9.256
explains,8,"10,431",9.253
pregnant,8,"10,439",9.253
theories,8,"10,403",9.25
Thompson,8,"10,393",9.249
partners,8,"10,358",9.246
observed,8,"10,357",9.245
quantity,8,"10,343",9.244
upgraded,8,"10,336",9.243
covering,8,"10,313",9.241
grateful,8,"10,278",9.238
approval,8,"10,239",9.234
emphasis,8,"10,226",9.233
petition,8,"10,168",9.227
repeated,8,"10,161",9.226
balanced,8,"10,049",9.215
clothing,8,"10,044",9.215
scenario,8,"10,048",9.215
announce,8,"10,018",9.212
recovery,8,"9,992",9.21
struggle,8,"9,992",9.21
promised,8,"9,925",9.203
alliance,8,"9,893",9.2
produces,8,"9,877",9.198
frequent,8,"9,855",9.196
overseas,8,"9,860",9.196
nonsense,8,"9,843",9.195
commerce,8,"9,822",9.192
displays,8,"9,779",9.188
survival,8,"9,737",9.184
guardian,8,"9,734",9.183
currency,8,"9,721",9.182
removing,8,"9,709",9.181
disabled,8,"9,664",9.176
resident,8,"9,664",9.176
shopping,8,"9,583",9.168
cleaning,8,"9,555",9.165
stronger,8,"9,553",9.165
ordering,8,"9,525",9.162
presents,8,"9,524",9.162
vacation,8,"9,491",9.158
designer,8,"9,484",9.157
flexible,8,"9,484",9.157
vertical,8,"9,471",9.156
throwing,8,"9,433",9.152
ministry,8,"9,402",9.149
calendar,8,"9,382",9.147
symptoms,8,"9,322",9.14
Jennifer,8,"9,264",9.134
vehicles,8,"9,269",9.134
Mitchell,8,"9,205",9.128
routines,8,"9,192",9.126
contrast,8,"9,170",9.124
sleeping,8,"9,165",9.123
courtesy,8,"9,139",9.12
supplied,8,"9,140",9.12
wondered,8,"9,133",9.12
festival,8,"9,122",9.118
persons,8,"9,107",9.117
Robinson,8,"9,085",9.114
warriors,8,"9,041",9.11
upcoming,8,"9,023",9.108
publicly,8,"8,980",9.103
managing,8,"8,953",9.1
revealed,8,"8,947",9.099
clinical,8,"8,913",9.095
studying,8,"8,892",9.093
entering,8,"8,869",9.09
rejected,8,"8,830",9.086
Atlantic,8,"8,803",9.083
embedded,8,"8,792",9.082
cultures,8,"8,780",9.08
estimate,8,"8,772",9.079
memories,8,"8,760",9.078
switched,8,"8,736",9.075
marshall,8,"8,658",9.066
adoption,8,"8,651",9.065
Benjamin,8,"8,638",9.064
retrieve,8,"8,640",9.064
breeding,8,"8,624",9.062
abstract,8,"8,606",9.06
revision,8,"8,583",9.058
arrested,8,"8,567",9.056
birthday,8,"8,557",9.055
overhead,8,"8,511",9.049
attacked,8,"8,489",9.047
Stanford,8,"8,486",9.046
horrible,8,"8,476",9.045
modeling,8,"8,472",9.045
counting,8,"8,449",9.042
honestly,8,"8,442",9.041
admitted,8,"8,428",9.039
lifetime,8,"8,373",9.033
liberals,8,"8,365",9.032
switches,8,"8,361",9.031
achieved,8,"8,305",9.025
relating,8,"8,251",9.018
champion,8,"8,243",9.017
laughing,8,"8,217",9.014
adequate,8,"8,178",9.009
disaster,8,"8,160",9.007
pathetic,8,"8,150",9.006
applying,8,"8,147",9.005
matching,8,"8,138",9.004
measured,8,"8,137",9.004
visiting,8,"8,123",9.002
humanity,8,"8,110",9.001
tracking,8,"8,109",9.001
formerly,8,"8,094",8.999
payments,8,"8,078",8.997
pressing,8,"8,070",8.996
relation,8,"8,066",8.995
expenses,8,"8,057",8.994
concrete,8,"7,961",8.982
expanded,8,"7,948",8.981
firearms,8,"7,939",8.98
receiver,8,"7,941",8.98
cellular,8,"7,932",8.979
tropical,8,"7,921",8.977
dialogue,8,"7,883",8.972
Hamilton,8,"7,838",8.967
mistaken,8,"7,836",8.966
analysts,8,"7,803",8.962
fighters,8,"7,728",8.953
remained,8,"7,721",8.952
Victoria,8,"7,684",8.947
producer,8,"7,676",8.946
restrict,8,"7,667",8.945
superman,8,"7,667",8.945
moderate,8,"7,655",8.943
enormous,8,"7,583",8.934
educated,8,"7,576",8.933
executed,8,"7,558",8.93
princess,8,"7,524",8.926
assassin,8,"7,479",8.92
excerpts,8,"7,480",8.92
invented,8,"7,464",8.918
equation,8,"7,382",8.907
manually,8,"7,375",8.906
reaching,8,"7,359",8.904
Scotland,8,"7,359",8.904
moreover,8,"7,313",8.897
dropping,8,"7,289",8.894
Columbus,8,"7,284",8.893
everyday,8,"7,270",8.892
advocate,8,"7,267",8.891
arranged,8,"7,249",8.889
evaluate,8,"7,252",8.889
explicit,8,"7,232",8.886
ignoring,8,"7,209",8.883
distinct,8,"7,191",8.881
overcome,8,"7,196",8.881
heritage,8,"7,189",8.88
interior,8,"7,186",8.88
likewise,8,"7,173",8.878
imperial,8,"7,157",8.876
stopping,8,"7,160",8.876
bothered,8,"7,149",8.875
velocity,8,"7,144",8.874
actively,8,"7,101",8.868
invasion,8,"7,087",8.866
isolated,8,"7,057",8.862
choosing,8,"7,051",8.861
duration,8,"7,054",8.861
syndrome,8,"7,055",8.861
reducing,8,"7,030",8.858
elephant,8,"7,010",8.855
piercing,8,"7,012",8.855
blessing,8,"6,964",8.849
catalogs,8,"6,966",8.849
joystick,8,"6,938",8.845
missions,8,"6,941",8.845
suffered,8,"6,943",8.845
attended,8,"6,928",8.843
cassette,8,"6,887",8.837
downtown,8,"6,886",8.837
Thailand,8,"6,869",8.835
deserves,8,"6,860",8.833
employed,8,"6,857",8.833
carriers,8,"6,815",8.827
featured,8,"6,765",8.82
pleasant,8,"6,736",8.815
enjoying,8,"6,712",8.812
promises,8,"6,714",8.812
Richmond,8,"6,701",8.81
pinnacle,8,"6,683",8.807
occasion,8,"6,664",8.804
volcanic,8,"6,637",8.8
searches,8,"6,596",8.794
terribly,8,"6,590",8.793
handbook,8,"6,519",8.782
resolved,8,"6,517",8.782
entities,8,"6,504",8.78
wireless,8,"6,503",8.78
diseases,8,"6,487",8.778
wherever,8,"6,480",8.776
tutorial,8,"6,464",8.774
romantic,8,"6,456",8.773
province,8,"6,449",8.772
decrease,8,"6,441",8.77
precious,8,"6,432",8.769
bathroom,8,"6,414",8.766
salaries,8,"6,410",8.766
acquired,8,"6,388",8.762
aluminum,8,"6,380",8.761
Broadway,8,"6,378",8.761
entrance,8,"6,373",8.76
monsters,8,"6,376",8.76
replying,8,"6,360",8.758
preserve,8,"6,306",8.749
judgment,8,"6,301",8.748
template,8,"6,294",8.747
deadline,8,"6,286",8.746
Franklin,8,"6,288",8.746
airlines,8,"6,265",8.743
composed,8,"6,262",8.742
dynamics,8,"6,244",8.739
morality,8,"6,231",8.737
swimming,8,"6,230",8.737
definite,8,"6,226",8.736
resulted,8,"6,200",8.732
appendix,8,"6,192",8.731
notebook,8,"6,194",8.731
savannah,8,"6,194",8.731
mentions,8,"6,188",8.73
governor,8,"6,135",8.722
scholars,8,"6,139",8.722
defender,8,"6,112",8.718
receives,8,"6,113",8.718
lighting,8,"6,075",8.712
launched,8,"6,071",8.711
unstable,8,"6,034",8.705
scanning,8,"6,002",8.7
diameter,8,"5,984",8.697
civilian,8,"5,954",8.692
tendency,8,"5,954",8.692
dominant,8,"5,947",8.691
staffing,8,"5,939",8.689
dramatic,8,"5,921",8.686
peaceful,8,"5,918",8.686
explorer,8,"5,911",8.685
listened,8,"5,913",8.685
supplier,8,"5,912",8.685
marathon,8,"5,900",8.683
particle,8,"5,898",8.682
churches,8,"5,889",8.681
monolith,8,"5,887",8.681
writings,8,"5,891",8.681
inspired,8,"5,866",8.677
climbing,8,"5,863",8.676
conclude,8,"5,858",8.676
hesitate,8,"5,803",8.666
emerging,8,"5,797",8.665
geometry,8,"5,788",8.664
launcher,8,"5,786",8.663
unsigned,8,"5,776",8.661
sinkhole,8,"5,764",8.659
deciding,8,"5,757",8.658
indecent,8,"5,749",8.657
doctrine,8,"5,731",8.654
severely,8,"5,725",8.653
Margaret,8,"5,724",8.652
journals,8,"5,686",8.646
emotions,8,"5,682",8.645
reviewed,8,"5,682",8.645
prevents,8,"5,674",8.644
patience,8,"5,636",8.637
captured,8,"5,631",8.636
orthodox,8,"5,631",8.636
regarded,8,"5,629",8.636
secondly,8,"5,629",8.636
Oklahoma,8,"5,617",8.634
talented,8,"5,612",8.633
notified,8,"5,611",8.632
Missouri,8,"5,604",8.631
senators,8,"5,605",8.631
sterling,8,"5,592",8.629
registry,8,"5,568",8.625
defining,8,"5,563",8.624
fraction,8,"5,560",8.623
sexually,8,"5,556",8.623
findings,8,"5,550",8.622
sticking,8,"5,548",8.621
reporter,8,"5,542",8.62
painting,8,"5,514",8.615
collapse,8,"5,499",8.612
inferior,8,"5,490",8.611
Arkansas,8,"5,485",8.61
equipped,8,"5,475",8.608
operated,8,"5,465",8.606
Atlantis,8,"5,455",8.604
offended,8,"5,447",8.603
dreaming,8,"5,436",8.601
triangle,8,"5,436",8.601
meantime,8,"5,417",8.597
paranoid,8,"5,408",8.596
acoustic,8,"5,401",8.594
weakness,8,"5,396",8.593
stranger,8,"5,384",8.591
withdraw,8,"5,353",8.585
gathered,8,"5,341",8.583
diabetes,8,"5,305",8.576
equality,8,"5,296",8.575
Einstein,8,"5,274",8.571
momentum,8,"5,271",8.57
detected,8,"5,250",8.566
chapters,8,"5,245",8.565
clueless,8,"5,243",8.565
guidance,8,"5,235",8.563
merchant,8,"5,231",8.562
striking,8,"5,214",8.559
crossing,8,"5,172",8.551
operates,8,"5,169",8.55
organize,8,"5,155",8.548
revenues,8,"5,157",8.548
charging,8,"5,142",8.545
inclined,8,"5,137",8.544
licensed,8,"5,137",8.544
Nicholas,8,"5,134",8.544
eligible,8,"5,113",8.54
inserted,8,"5,104",8.538
reminded,8,"5,105",8.538
weekends,8,"5,103",8.538
avoiding,8,"5,099",8.537
laughter,8,"5,098",8.537
enclosed,8,"5,093",8.536
infected,8,"5,077",8.532
literary,8,"5,062",8.53
ceremony,8,"5,060",8.529
circuits,8,"5,055",8.528
injuries,8,"5,043",8.526
touching,8,"5,042",8.526
inherent,8,"5,038",8.525
circular,8,"5,029",8.523
gauntlet,8,"5,029",8.523
Kentucky,8,"5,026",8.522
illusion,8,"5,005",8.518
mothers,8,"5,005",8.518
needless,8,"5,001",8.517
animated,8,"4,987",8.515
Democrat,8,"4,989",8.515
interact,8,"4,991",8.515
Russians,8,"4,981",8.513
symbolic,8,"4,969",8.511
mistress,8,"4,949",8.507
validity,8,"4,944",8.506
sensible,8,"4,936",8.504
transmit,8,"4,922",8.501
obsolete,8,"4,914",8.5
periodic,8,"4,909",8.499
spinning,8,"4,904",8.498
welcomed,8,"4,903",8.498
cylinder,8,"4,895",8.496
infinity,8,"4,888",8.495
monopoly,8,"4,878",8.492
portions,8,"4,848",8.486
observer,8,"4,816",8.48
searched,8,"4,815",8.479
feminist,8,"4,772",8.471
mortgage,8,"4,758",8.468
railroad,8,"4,755",8.467
memorial,8,"4,749",8.466
stealing,8,"4,744",8.465
thorough,8,"4,747",8.465
airplane,8,"4,709",8.457
segments,8,"4,702",8.456
genocide,8,"4,696",8.454
sounding,8,"4,695",8.454
musician,8,"4,686",8.452
basement,8,"4,682",8.451
mounting,8,"4,678",8.451
readable,8,"4,681",8.451
neighbor,8,"4,675",8.45
nowadays,8,"4,672",8.449
adapters,8,"4,651",8.445
veterans,8,"4,652",8.445
frontier,8,"4,646",8.444
generous,8,"4,648",8.444
bacteria,8,"4,641",8.443
unopened,8,"4,632",8.441
advances,8,"4,615",8.437
performs,8,"4,616",8.437
brochure,8,"4,609",8.436
survived,8,"4,610",8.436
fathers,8,"4,586",8.431
wildlife,8,"4,582",8.43
branches,8,"4,575",8.428
occupied,8,"4,569",8.427
nations,8,"4,565",8.426
defeated,8,"4,556",8.424
spectral,8,"4,552",8.423
treasury,8,"4,536",8.42
catapult,8,"4,532",8.419
missiles,8,"4,531",8.419
earnings,8,"4,528",8.418
opposing,8,"4,530",8.418
disorder,8,"4,525",8.417
drawings,8,"4,517",8.416
adjusted,8,"4,511",8.414
treating,8,"4,506",8.413
editions,8,"4,495",8.411
monetary,8,"4,496",8.411
classics,8,"4,488",8.409
judicial,8,"4,488",8.409
prisoner,8,"4,485",8.408
treasure,8,"4,470",8.405
quarters,8,"4,460",8.403
verified,8,"4,461",8.403
violated,8,"4,455",8.402
aviation,8,"4,453",8.401
chromium,8,"4,451",8.401
blocking,8,"4,435",8.397
steering,8,"4,431",8.396
examined,8,"4,425",8.395
notation,8,"4,421",8.394
colleges,8,"4,418",8.393
visitors,8,"4,376",8.384
compound,8,"4,369",8.382
compress,8,"4,355",8.379
minimize,8,"4,355",8.379
probable,8,"4,356",8.379
troubles,8,"4,356",8.379
artistic,8,"4,327",8.373
converts,8,"4,328",8.373
reflects,8,"4,325",8.372
boundary,8,"4,319",8.371
founding,8,"4,317",8.37
polarity,8,"4,316",8.37
restored,8,"4,314",8.37
backward,8,"4,305",8.368
bleeding,8,"4,309",8.368
clearing,8,"4,305",8.368
ideology,8,"4,308",8.368
failures,8,"4,303",8.367
fountain,8,"4,302",8.367
anyones,8,"4,297",8.366
licenses,8,"4,295",8.365
promptly,8,"4,291",8.364
paradigm,8,"4,279",8.361
advisory,8,"4,271",8.36
remotely,8,"4,273",8.36
friends,8,"4,269",8.359
Scottish,8,"4,263",8.358
shutdown,8,"4,263",8.358
earliest,8,"4,262",8.357
focusing,8,"4,258",8.357
Brooklyn,8,"4,243",8.353
Waterloo,8,"4,243",8.353
passport,8,"4,237",8.352
connects,8,"4,227",8.349
fireball,8,"4,216",8.347
tactical,8,"4,216",8.347
imported,8,"4,214",8.346
outright,8,"4,212",8.346
refugees,8,"4,213",8.346
medieval,8,"4,207",8.345
responds,8,"4,210",8.345
rhetoric,8,"4,207",8.345
chambers,8,"4,199",8.343
integral,8,"4,192",8.341
taxation,8,"4,192",8.341
numbered,8,"4,188",8.34
biblical,8,"4,182",8.339
limiting,8,"4,178",8.338
rotation,8,"4,180",8.338
throttle,8,"4,162",8.334
Nebraska,8,"4,160",8.333
recorder,8,"4,158",8.333
pipeline,8,"4,156",8.332
Buchanan,8,"4,141",8.329
threaten,8,"4,138",8.328
billions,8,"4,131",8.326
backbone,8,"4,126",8.325
immortal,8,"4,124",8.325
Armenian,8,"4,110",8.321
historic,8,"4,106",8.32
bearings,8,"4,094",8.317
nickname,8,"4,069",8.311
premiere,8,"4,070",8.311
murdered,8,"4,064",8.31
composer,8,"4,050",8.306
mentally,8,"4,045",8.305
readings,8,"4,044",8.305
informal,8,"4,028",8.301
holidays,8,"4,022",8.3
auditing,8,"4,013",8.297
authors,8,"4,003",8.295
Chrysler,8,"3,986",8.291
goodness,8,"3,984",8.29
guessing,8,"3,985",8.29
Patricia,8,"3,969",8.286
infamous,8,"3,963",8.285
surfaces,8,"3,964",8.285
develops,8,"3,953",8.282
arrogant,8,"3,936",8.278
electron,8,"3,923",8.275
symphony,8,"3,926",8.275
prospect,8,"3,912",8.272
terrific,8,"3,890",8.266
catching,8,"3,885",8.265
reversed,8,"3,885",8.265
sampling,8,"3,880",8.264
warnings,8,"3,883",8.264
Malaysia,8,"3,874",8.262
interval,8,"3,861",8.259
mutation,8,"3,851",8.256
scanners,8,"3,847",8.255
beginner,8,"3,841",8.253
placenta,8,"3,830",8.251
demanded,8,"3,829",8.25
infantry,8,"3,829",8.25
advocacy,8,"3,825",8.249
Bulgaria,8,"3,824",8.249
Schwartz,8,"3,823",8.249
unwanted,8,"3,822",8.249
punished,8,"3,817",8.247
tolerate,8,"3,816",8.247
sponsors,8,"3,803",8.244
hypnotic,8,"3,790",8.24
insecure,8,"3,775",8.236
insisted,8,"3,774",8.236
sympathy,8,"3,763",8.233
concerts,8,"3,754",8.231
profound,8,"3,756",8.231
coherent,8,"3,753",8.23
counters,8,"3,751",8.23
athletic,8,"3,739",8.227
altitude,8,"3,730",8.224
Portugal,8,"3,724",8.223
inventor,8,"3,720",8.221
clicking,8,"3,709",8.219
stripped,8,"3,699",8.216
Delaware,8,"3,691",8.214
enforced,8,"3,683",8.211
prohibit,8,"3,665",8.207
centered,8,"3,653",8.203
sporting,8,"3,649",8.202
crashing,8,"3,622",8.195
excluded,8,"3,617",8.193
